site_id,sample_id,lon,lat,collection_date,lon_cru,lat_cru,time,tmp
OK02,Soil_OK02_2,35.8909,-94.95151,2025-03-06,-94.75,35.75,2024-12-16,6.599999904632568
OK02,Soil_OK02_3,35.8909,-94.95151,2025-03-06,-94.75,35.75,2024-12-16,6.599999904632568
OK02,Soil_OK02_4,35.8909,-94.95151,2025-03-06,-94.75,35.75,2024-12-16,6.599999904632568
OK02,Soil_OK02_5,35.8909,-94.95151,2025-03-06,-94.75,35.75,2024-12-16,6.599999904632568
OK02,Soil_OK02_6,35.8909,-94.95151,2025-03-06,-94.75,35.75,2024-12-16,6.599999904632568
SC01,Soil_SC01_1,36.95241,-122.064,2024-05-24,-122.25,36.75,2024-05-16,15.5
SC01,Soil_SC01_2,36.95241,-122.064,2024-05-24,-122.25,36.75,2024-05-16,15.5
SC02,Soil_SC02_1,36.998778,-122.06125,2024-05-24,-122.25,36.75,2024-05-16,15.5
SC02,Soil_SC02_2,36.998778,-122.06125,2024-05-24,-122.25,36.75,2024-05-16,15.5
TC01,Soil_TC01_1,NA,NA,2024-03-10,NA,NA,NA,NA
TC07,Soil_TC07_1,NA,NA,2024-03-10,NA,NA,NA,NA
TC02,Soil_TC02_1,NA,NA,2024-03-22,NA,NA,NA,NA
TC08,Soil_TC08_1,NA,NA,2024-03-22,NA,NA,NA,NA
TC03,Soil_TC03_1,NA,NA,2024-04-05,NA,NA,NA,NA
TC04,Soil_TC04_1,NA,NA,2024-05-01,NA,NA,NA,NA
TC05,Soil_TC05_1,NA,NA,2024-05-04,NA,NA,NA,NA
TC06,Soil_TC06_1,NA,NA,2024-05-15,NA,NA,NA,NA
CU01,Soil_CU01_1,36.43411,-77.09718,2025-05-02,-77.25,36.25,2024-12-16,6.800000190734863
CU01,Soil_CU01_2,36.43411,-77.09718,2025-05-02,-77.25,36.25,2024-12-16,6.800000190734863
CU01,Soil_CU01_3,36.43411,-77.09718,2025-05-02,-77.25,36.25,2024-12-16,6.800000190734863
CU01,Soil_CU01_4,36.43411,-77.09718,2025-05-02,-77.25,36.25,2024-12-16,6.800000190734863
PH01,Soil_PH01_1,40.20348,-76.72894,2025-04-18,-76.75,40.25,2024-12-16,1.8000000715255737
PH01,Soil_PH01_2,40.20348,-76.72894,2025-04-18,-76.75,40.25,2024-12-16,1.8000000715255737
PH02,Soil_PH02_1,40.19287,-76.72865,2025-04-18,-76.75,40.25,2024-12-16,1.8000000715255737
PH02,Soil_PH02_2,40.19287,-76.72865,2025-04-18,-76.75,40.25,2024-12-16,1.8000000715255737
PH03,Soil_PH03_1,40.20507,-76.74527,2025-04-18,-76.75,40.25,2024-12-16,1.8000000715255737
PH03,Soil_PH03_2,40.20507,-76.74527,2025-04-18,-76.75,40.25,2024-12-16,1.8000000715255737
PH04,Soil_PH04_1,40.19899,-76.74357,2025-04-19,-76.75,40.25,2024-12-16,1.8000000715255737
PH04,Soil_PH04_2,40.19899,-76.74357,2025-04-19,-76.75,40.25,2024-12-16,1.8000000715255737
PH05,Soil_PH05_1,40.20651,-76.7385,2025-04-19,-76.75,40.25,2024-12-16,1.8000000715255737
PH05,Soil_PH05_2,40.20651,-76.7385,2025-04-19,-76.75,40.25,2024-12-16,1.8000000715255737
PD01,Soil_PD01_1,33.669456,-116.4091989,2025-01-17,-116.25,33.75,2024-12-16,12.699999809265137
PD01,Soil_PD01_2,33.669456,-116.4091989,2025-01-17,-116.25,33.75,2024-12-16,12.699999809265137
PD02,Soil_PD02_1,33.7330671,-116.3867086,2025-01-17,-116.25,33.75,2024-12-16,12.699999809265137
PD02,Soil_PD02_2,33.7330671,-116.3867086,2025-01-17,-116.25,33.75,2024-12-16,12.699999809265137
